Cidade;UF;População;Possui Plano Municipal;População sem Água;População sem Esgoto;População sem coleta de lixo;Domicílios sujeitos à inundações
"Maurilândia do Tocantins";"TO";"3470";"Não";"20,03%";"--";"36,05%";"8,9%"
"Mauriti";"CE";"48370";"Sim";"73,02%";"94,42%";"6,97%";"Não há"
"Maxaranguape";"RN";"12714";"Em elaboração";"17,41%";"--";"37,08%";"Não há"
"Maximiliano de Almeida";"RS";"4254";"Sim";"39,45%";"--";"38,6%";"Não há"
"Mazagão";"AP";"22468";"Sim";"84,91%";"98,57%";"51,43%";"Não há"
"Medeiros";"MG";"3861";"Sim";"44,83%";"Atendimento Pleno";"45,09%";"Não há"
"Medeiros Neto";"BA";"22741";"Não";"20,99%";"--";"3,26%";"14,5%"
"Medianeira";"PR";"46940";"Em elaboração";"0,01%";"50,28%";"10,59%";"0,5%"
"Medicilândia";"PA";"32347";"Não";"31,99%";"--";"84,54%";"9,8%"
"Medina";"MG";"20701";"Em elaboração";"26,07%";"32,32%";"28,26%";"--"
"Meleiro";"SC";"6989";"Não";"47,78%";"--";"19,73%";"8,9%"
"Melgaço";"PA";"28121";"Não";"--";"--";"--";"--"
"Mendes";"RJ";"18681";"Sim";"4,04%";"4,04%";"1,31%";"0,6%"
"Mendes Pimentel";"MG";"6446";"Sim";"42,37%";"--";"41,08%";"35%"
"Mendonça";"SP";"5638";"Sim";"0,67%";"0,67%";"Atendimento Pleno";"Não há"
"Mercedes";"PR";"5617";"Sim";"Atendimento Pleno";"--";"50,15%";"Não há"
"Mercês";"MG";"10775";"Sim";"31,94%";"Atendimento Pleno";"30,01%";"3,2%"
"Meridiano";"SP";"3813";"Em elaboração";"Atendimento Pleno";"Atendimento Pleno";"Atendimento Pleno";"0,4%"
"Meruoca";"CE";"15309";"Não";"75,86%";"--";"47,74%";"Não há"
"Mesópolis";"SP";"1903";"Em elaboração";"3,57%";"8,51%";"--";"--"
"Mesquita";"MG";"5489";"Sim";"20,08%";"31,68%";"--";"--"
"Mesquita";"RJ";"177016";"Em elaboração";"Atendimento Pleno";"49,23%";"Atendimento Pleno";"0,3%"
"Messias";"AL";"18201";"Em elaboração";"34,52%";"--";"--";"--"
"Messias Targino";"RN";"4665";"Sim";"37,66%";"--";"--";"--"
"Miguel Alves";"PI";"33901";"Sim";"63,89%";"--";"66,83%";"0,7%"
"Miguel Calmon";"BA";"25771";"Sim";"19,55%";"84,59%";"10,75%";"2,2%"
"Miguel Leão";"PI";"1239";"Não";"--";"--";"23,33%";"Não há"
"Miguel Pereira";"RJ";"25622";"Sim";"17,69%";"32,09%";"10%";"--"
"Miguelópolis";"SP";"22480";"Não";"14,19%";"13,36%";"4,36%";"Não há"
"Milagres";"BA";"10838";"Não";"22,03%";"--";"7,73%";"Não há"
"Milagres";"CE";"27413";"Não";"63,22%";"86,79%";"37,99%";"Não há"
"Milagres do Maranhão";"MA";"8502";"Não";"--";"--";"78,32%";"--"
"Milhã";"CE";"13129";"Não";"--";"--";"54,38%";"--"
"Milton Brandão";"PI";"6603";"Não";"45,89%";"--";"50,02%";"Não há"
"Mimoso de Goiás";"GO";"2575";"Não";"51,46%";"51,46%";"--";"--"
"Mimoso do Sul";"ES";"26079";"Em elaboração";"30,22%";"54,62%";"20,24%";"Não há"
"Minaçu";"GO";"28518";"Sim";"8,35%";"29,95%";"14,77%";"50%"
"Minador do Negrão";"AL";"5315";"Não";"55,95%";"--";"62,37%";"Não há"
"Minas do Leão";"RS";"8130";"Em elaboração";"3,32%";"--";"3,81%";"0,3%"
"Minas Novas";"MG";"31509";"Não";"50,61%";"71,99%";"--";"--"
"Minduri";"MG";"3891";"Em elaboração";"19,38%";"9,02%";"11,57%";"Não há"
"Mineiros";"GO";"69477";"Não";"Atendimento Pleno";"3,21%";"Atendimento Pleno";"Não há"
"Mineiros do Tietê";"SP";"13023";"Em elaboração";"4,47%";"4,47%";"--";"--"
"Ministro Andreazza";"RO";"9461";"Não";"70,31%";"--";"70,31%";"--"
"Mira Estrela";"SP";"3125";"Em elaboração";"36,13%";"36,54%";"Atendimento Pleno";"Não há"
"Mirabela";"MG";"13651";"Não";"37,56%";"67,57%";"5%";"Não há"
"Miracatu";"SP";"19511";"Sim";"37,31%";"45,95%";"48,59%";"1,4%"
"Miracema";"RJ";"27134";"Não";"7,83%";"4,68%";"7,83%";"4,5%"
"Miracema do Tocantins";"TO";"17628";"Em elaboração";"7,01%";"--";"13,28%";"Não há"
"Mirador";"MA";"21045";"Não";"89,6%";"--";"42,98%";"--"
"Mirador";"PR";"2180";"Sim";"0,05%";"--";"32,16%";"0,3%"
"Miradouro";"MG";"10818";"Não";"45,78%";"--";"--";"12,5%"
"Miraguaí";"RS";"4899";"Em elaboração";"57,38%";"--";"57,38%";"Não há"
"Miraí";"MG";"15205";"Não";"33,61%";"4,62%";"--";"6,6%"
"Miraíma";"CE";"13965";"Em elaboração";"64,45%";"--";"25,07%";"12,3%"
"Miranda";"MS";"28423";"Em elaboração";"39,78%";"68,57%";"--";"--"
"Miranda do Norte";"MA";"29121";"Não";"98,18%";"--";"21,1%";"17,1%"
"Mirandiba";"PE";"15548";"Não";"5,83%";"42,11%";"45,33%";"Não há"
"Mirandópolis";"SP";"29844";"Sim";"Atendimento Pleno";"12,36%";"Atendimento Pleno";"Não há"
"Mirangaba";"BA";"18603";"Sim";"67,26%";"86,36%";"35,08%";"2,3%"
"Miranorte";"TO";"13551";"Sim";"9,4%";"--";"12,57%";"Não há"
"Mirante";"BA";"8264";"Não";"82,8%";"--";"72,73%";"Não há"
"Mirante da Serra";"RO";"10691";"Não";"75,35%";"--";"--";"--"
"Mirante do Paranapanema";"SP";"18415";"Sim";"38,89%";"48,38%";"41,12%";"Não há"
"Miraselva";"PR";"1786";"Sim";"Atendimento Pleno";"--";"23,18%";"Não há"
"Mirassol";"SP";"60768";"Não";"2,53%";"2,53%";"3,32%";"Não há"
"Mirassol d'Oeste";"MT";"28135";"Sim";"0,01%";"72,06%";"15,13%";"0,2%"
"Mirassolândia";"SP";"4966";"Não";"0,95%";"19,47%";"18,69%";"0,1%"
"Miravânia";"MG";"4939";"Em elaboração";"76,53%";"--";"52,95%";"Não há"
"Mirim Doce";"SC";"2257";"Sim";"42,05%";"--";"26,89%";"3,7%"
"Mirinzal";"MA";"15059";"Em elaboração";"84,83%";"--";"40,24%";"20%"
"Missal";"PR";"10706";"Sim";"31,27%";"--";"48,25%";"Não há"
"Missão Velha";"CE";"35566";"Não";"71,54%";"98,96%";"--";"--"
"Mocajuba";"PA";"31917";"Não";"72,65%";"37,26%";"15,95%";"--"
"Mococa";"SP";"69072";"Não";"Atendimento Pleno";"Atendimento Pleno";"7,76%";"1,3%"
"Modelo";"SC";"4227";"Sim";"23,8%";"--";"--";"8%"
"Moeda";"MG";"4948";"Não";"61,78%";"--";"33,55%";"11,6%"
"Moema";"MG";"7589";"Em elaboração";"8,92%";"20,54%";"14,06%";"Não há"
"Mogeiro";"PB";"13238";"Em elaboração";"70,62%";"78,64%";"35,79%";"19,2%"
"Mogi das Cruzes";"SP";"455587";"Em elaboração";"8,53%";"13,73%";"4,17%";"18,2%"
"Mogi Guaçu";"SP";"154146";"Sim";"5,06%";"7,91%";"5,06%";"Não há"
"Mogi Mirim";"SP";"94098";"Sim";"6,43%";"11,6%";"1,31%";"0,1%"
"Moiporá";"GO";"1471";"Não";"27,26%";"--";"35,76%";"Não há"
"Moita Bonita";"SE";"11361";"Não";"32,43%";"38,52%";"51,59%";"Não há"
"Moju";"PA";"84251";"Não";"91,65%";"--";"43,03%";"Não há"
"Mojuí dos Campos";"PA";"16282";"Não";"--";"--";"20,16%";"Não há"
"Mombaça";"CE";"43917";"Não";"72,32%";"--";"45,12%";"Não há"
"Mombuca";"SP";"3523";"Sim";"Atendimento Pleno";"1,76%";"4,91%";"1,3%"
"Monção";"MA";"33888";"Em elaboração";"83,06%";"--";"39,51%";"6,4%"
"Monções";"SP";"2274";"Sim";"0,44%";"2,59%";"Atendimento Pleno";"0,1%"
"Mondaí";"SC";"12034";"Sim";"37,45%";"--";"38,37%";"2,8%"
"Mongaguá";"SP";"58567";"Sim";"8,23%";"22,05%";"0,44%";"4,1%"
"Monjolos";"MG";"2184";"Em elaboração";"39,42%";"--";"40,57%";"3,3%"
"Monsenhor Gil";"PI";"10563";"Em elaboração";"30,42%";"--";"17,16%";"1,9%"
"Monsenhor Hipólito";"PI";"7785";"Não";"44,05%";"--";"43,82%";"Não há"
"Monsenhor Paulo";"MG";"8764";"Sim";"25,31%";"24,85%";"17,4%";"Não há"
"Monsenhor Tabosa";"CE";"17264";"Sim";"58,94%";"--";"Atendimento Pleno";"Não há"
"Montadas";"PB";"5806";"Não";"Sem Atendimento";"--";"Atendimento Pleno";"Não há"
"Montalvânia";"MG";"14621";"Não";"34,57%";"91,46%";"25,88%";"2,1%"
"Montanha";"ES";"18954";"Não";"25,73%";"89,18%";"24,98%";"10%"
"Montanhas";"RN";"11166";"Em elaboração";"Atendimento Pleno";"--";"10,44%";"Não há"
"Montauri";"RS";"1430";"Não";"Atendimento Pleno";"--";"58,25%";"Não há"
"Monte Alegre";"PA";"58289";"Não";"84,22%";"--";"51,11%";"19,9%"
"Monte Alegre";"RN";"22698";"Em elaboração";"21,58%";"94,03%";"56,71%";"Não há"
"Monte Alegre de Goiás";"GO";"8759";"Não";"58,87%";"--";"59,07%";"0,6%"
"Monte Alegre de Minas";"MG";"21349";"Sim";"26,15%";"26,85%";"Atendimento Pleno";"Não há"
"Monte Alegre de Sergipe";"SE";"15315";"Não";"10,03%";"--";"40,98%";"3,1%"
"Monte Alegre do Piauí";"PI";"10618";"Não";"61,89%";"--";"--";"--"
"Monte Alegre do Sul";"SP";"8181";"Em elaboração";"5,07%";"52,35%";"2%";"0,7%"
"Monte Alegre dos Campos";"RS";"3237";"Em elaboração";"61,04%";"95,37%";"61,79%";"Não há"
"Monte Alto";"SP";"51039";"Sim";"Atendimento Pleno";"Atendimento Pleno";"4,5%";"Não há"
"Monte Aprazível";"SP";"25651";"Em elaboração";"5,79%";"8,95%";"Atendimento Pleno";"--"
"Monte Azul";"MG";"20544";"Não";"40,13%";"94,27%";"43,12%";"0,7%"
"Monte Azul Paulista";"SP";"18928";"Em elaboração";"1,24%";"2,35%";"6,43%";"Não há"
"Monte Belo";"MG";"13139";"Sim";"37,86%";"95,43%";"31,5%";"0,1%"
"Monte Belo do Sul";"RS";"2514";"Sim";"Atendimento Pleno";"--";"71,16%";"Não há"
"Monte Carlo";"SC";"9945";"Sim";"9,5%";"--";"19,56%";"Não há"
"Monte Carmelo";"MG";"48049";"Sim";"Atendimento Pleno";"15,89%";"0,49%";"Não há"
"Monte Castelo";"SC";"8263";"Sim";"22,8%";"--";"41,9%";"Não há"
"Monte Castelo";"SP";"4166";"Não";"--";"--";"--";"--"
"Monte das Gameleiras";"RN";"2063";"Em elaboração";"Atendimento Pleno";"--";"--";"--"
"Monte do Carmo";"TO";"8182";"Sim";"57,1%";"--";"--";"--"
"Monte Formoso";"MG";"4939";"Não";"61,81%";"69,63%";"63,49%";"4,1%"
"Monte Horebe";"PB";"4867";"Não";"29,11%";"38,36%";"44,81%";"4%"
"Monte Mor";"SP";"61707";"Sim";"Atendimento Pleno";"4,08%";"Atendimento Pleno";"0,4%"
"Monte Negro";"RO";"16158";"Sim";"66,21%";"--";"46,32%";"0,5%"
"Monte Santo";"BA";"49145";"Não";"64,29%";"--";"43,11%";"Não há"
"Monte Santo de Minas";"MG";"21504";"Não";"24,08%";"26,01%";"22,66%";"2%"
"Monte Santo do Tocantins";"TO";"2311";"Sim";"5,15%";"--";"--";"--"
"Monte Sião";"MG";"24247";"Em elaboração";"25,82%";"25,82%";"Atendimento Pleno";"3,3%"
"Monteiro";"PB";"33638";"Sim";"18,43%";"48,67%";"--";"--"
"Monteiro Lobato";"SP";"4739";"Não";"49,99%";"60,6%";"31,42%";"0,4%"
"Monteirópolis";"AL";"7171";"Não";"35,76%";"--";"--";"Não há"
"Montenegro";"RS";"66157";"Sim";"10,56%";"--";"1,75%";"0,4%"
"Montes Altos";"MA";"9064";"Não";"47,54%";"--";"--";"--"
"Montes Claros";"MG";"417478";"Sim";"16,08%";"14,57%";"0,97%";"0,1%"
"Montes Claros de Goiás";"GO";"8037";"Sim";"31,54%";"57,58%";"33,33%";"Não há"
"Montezuma";"MG";"8379";"Em elaboração";"59,79%";"69,21%";"53,36%";"Não há"
"Montividiu";"GO";"13935";"Não";"20,52%";"55,44%";"--";"Não há"
"Montividiu do Norte";"GO";"4538";"Em elaboração";"57,49%";"--";"67,32%";"1%"
"Morada Nova";"CE";"61590";"Sim";"4,21%";"97,73%";"5%";"11,5%"
"Morada Nova de Minas";"MG";"8955";"Sim";"25,57%";"46,61%";"23,41%";"1,4%"
"Moraújo";"CE";"8833";"Não";"67,68%";"--";"--";"--"
"Moreilândia";"PE";"11269";"Sim";"49,5%";"--";"--";"2,1%"
"Moreira Sales";"PR";"11966";"Sim";"0,02%";"78,73%";"21,2%";"Não há"
"Moreno";"PE";"63792";"Não";"20,14%";"71,62%";"11,46%";"1,6%"
"Mormaço";"RS";"3139";"Em elaboração";"0,61%";"--";"40,11%";"0,5%"
"Morpará";"BA";"8476";"Não";"33,53%";"--";"--";"--"
"Morretes";"PR";"16485";"Sim";"2,19%";"47,12%";"27,21%";"6,3%"
"Morrinhos";"CE";"22830";"Sim";"65,3%";"--";"34,3%";"--"
"Morrinhos";"GO";"46955";"Sim";"13,82%";"24,01%";"13,27%";"Não há"
"Morrinhos do Sul";"RS";"2891";"Sim";"11,8%";"--";"30,82%";"Não há"
"Morro Agudo";"SP";"33598";"Em elaboração";"2,85%";"2,85%";"4,15%";"2%"
"Morro Agudo de Goiás";"GO";"2217";"Sim";"25,62%";"--";"--";"Não há"
"Morro Cabeça no Tempo";"PI";"4527";"Não";"--";"--";"--";"4,1%"
"Morro da Fumaça";"SC";"18095";"Sim";"Atendimento Pleno";"--";"Atendimento Pleno";"11%"
"Morro da Garça";"MG";"2413";"Sim";"46,58%";"42,77%";"17,78%";"Não há"
"Morro do Chapéu";"BA";"35466";"Não";"36,78%";"61,08%";"20,09%";"0,2%"
"Morro do Chapéu do Piauí";"PI";"6825";"Não";"12,09%";"--";"64,84%";"7,4%"
"Morro do Pilar";"MG";"3126";"Em elaboração";"24,06%";"--";"24,06%";"5,2%"
"Morro Grande";"SC";"2884";"Sim";"--";"--";"47,99%";"Não há"
"Morro Redondo";"RS";"6609";"Sim";"61,04%";"--";"31,91%";"Não há"
"Morro Reuter";"RS";"6570";"Sim";"38,68%";"--";"23,9%";"Não há"
"Morros";"MA";"19708";"Não";"84,04%";"--";"50%";"--"
"Mortugaba";"BA";"12063";"Sim";"53,32%";"--";"49,02%";"Não há"
"Morungaba";"SP";"13936";"Sim";"8,45%";"11,74%";"7%";"0,7%"
"Mossâmedes";"GO";"4120";"Sim";"27,18%";"--";"34,59%";"Não há"
"Mossoró";"RN";"303792";"Em elaboração";"6,5%";"48,53%";"1,25%";"5,3%"
"Mostardas";"RS";"12888";"Sim";"85,34%";"--";"13,68%";"Não há"
"Motuca";"SP";"4831";"Não";"0,23%";"0,23%";"Atendimento Pleno";"Não há"
"Mozarlândia";"GO";"16077";"Sim";"30,08%";"--";"9,27%";"Não há"
"Muaná";"PA";"41454";"Em elaboração";"7,13%";"--";"57,55%";"--"
"Mucajaí";"RR";"18482";"Em elaboração";"33,41%";"41,65%";"11,37%";"Não há"
"Mucambo";"CE";"14561";"Sim";"50,18%";"91,37%";"9%";"Não há"
"Mucugê";"BA";"8725";"Não";"Atendimento Pleno";"59,54%";"40,4%";"Não há"
"Muçum";"RS";"4967";"Sim";"15,8%";"89,93%";"15,44%";"40%"
"Mucuri";"BA";"42729";"Em elaboração";"29,68%";"65,63%";"5,8%";"Não há"
"Mucurici";"ES";"5468";"Não";"39,16%";"42,83%";"36,52%";"Não há"
"Muitos Capões";"RS";"3184";"Sim";"67,53%";"--";"67,53%";"Não há"
"Muliterno";"RS";"1901";"Sim";"67,91%";"--";"43,98%";"0,8%"
"Mulungu";"CE";"11056";"Sim";"72,45%";"95,84%";"36,69%";"Não há"
"Mulungu";"PB";"9962";"Não";"46,44%";"--";"--";"--"
"Mulungu do Morro";"BA";"10469";"Não";"31,05%";"--";"24,95%";"Não há"
"Mundo Novo";"BA";"27153";"Em elaboração";"27,25%";"44,77%";"44,4%";"--"
"Mundo Novo";"GO";"4540";"Em elaboração";"26,85%";"--";"Atendimento Pleno";"Não há"
"Mundo Novo";"MS";"18578";"Em elaboração";"11,29%";"--";"10,91%";"0,1%"
"Munhoz";"MG";"5960";"Não";"45,62%";"--";"16,11%";"Não há"
"Munhoz de Melo";"PR";"4034";"Sim";"16,21%";"--";"0,62%";"Não há"
"Muniz Ferreira";"BA";"7464";"Não";"47,19%";"--";"51,97%";"Não há"
"Muniz Freire";"ES";"17176";"Em elaboração";"61,23%";"86,46%";"41,78%";"10%"
"Muquém de São Francisco";"BA";"11479";"Em elaboração";"62,44%";"94,07%";"45,81%";"Não há"
"Muqui";"ES";"15602";"Sim";"36,6%";"Atendimento Pleno";"Atendimento Pleno";"4,4%"
"Muriaé";"MG";"109997";"Sim";"7,48%";"7,48%";"7,48%";"23,3%"
"Muribeca";"SE";"7653";"Não";"0,1%";"--";"44,77%";"--"
"Murici";"AL";"28428";"Em elaboração";"50,8%";"17,23%";"Atendimento Pleno";"--"
"Murici dos Portelas";"PI";"9258";"Em elaboração";"73,43%";"--";"80,05%";"4,7%"
"Muricilândia";"TO";"3623";"Sim";"8,94%";"--";"42,89%";"Não há"
"Muritiba";"BA";"29420";"Não";"12,13%";"65,03%";"37,58%";"Não há"
"Murutinga do Sul";"SP";"4525";"Sim";"39,07%";"42,54%";"Atendimento Pleno";"Não há"
"Mutuípe";"BA";"22340";"Não";"55,06%";"64,81%";"54,97%";"5%"
"Mutum";"MG";"26945";"Sim";"56,74%";"70,73%";"48,28%";"1,5%"
"Mutunópolis";"GO";"3749";"Em elaboração";"31,18%";"--";"26,59%";"Não há"
"Muzambinho";"MG";"20522";"Em elaboração";"23,63%";"7,42%";"9,95%";"Não há"
"Nacip Raydan";"MG";"3221";"Sim";"46,1%";"--";"--";"--"
"Nantes";"SP";"3215";"Sim";"--";"--";"10,2%";"Não há"
"Nanuque";"MG";"40583";"Sim";"19,51%";"38,91%";"9,91%";"0,8%"
"Não-Me-Toque";"RS";"17886";"Sim";"12,36%";"--";"Atendimento Pleno";"0,2%"
"Naque";"MG";"7104";"Sim";"13,51%";"22,86%";"8,5%";"0,4%"
"Narandiba";"SP";"4950";"Não";"Atendimento Pleno";"Atendimento Pleno";"27,6%";"Não há"
"Natal";"RN";"896708";"Em elaboração";"5,59%";"56,22%";"0,88%";"0,4%"
"Natalândia";"MG";"3306";"Em elaboração";"--";"--";"--";"--"
"Natércia";"MG";"4727";"Sim";"42,42%";"56,04%";"Atendimento Pleno";"2,1%"
"Natividade";"RJ";"15305";"Em elaboração";"21,03%";"--";"20,13%";"37%"
"Natividade";"TO";"9256";"Em elaboração";"14,36%";"--";"20,05%";"Não há"
"Natividade da Serra";"SP";"6624";"Não";"56,93%";"56,93%";"30,19%";"--"
"Natuba";"PB";"10449";"Não";"63,59%";"--";"--";"--"
"Navegantes";"SC";"85734";"Sim";"0,9%";"--";"5,21%";"2,9%"
"Naviraí";"MS";"56484";"Sim";"8,61%";"59,37%";"4,4%";"Não há"
"Nazaré";"BA";"28661";"Não";"20,24%";"--";"10,64%";"1,9%"
"Nazaré";"TO";"3772";"Não";"1,27%";"--";"53,79%";"--"
"Nazaré da Mata";"PE";"32673";"Sim";"3,7%";"68,72%";"Atendimento Pleno";"1,2%"
"Nazaré do Piauí";"PI";"7307";"Em elaboração";"56,23%";"--";"52,16%";"--"
"Nazaré Paulista";"SP";"18866";"Sim";"58,3%";"87,55%";"10,6%";"Não há"
"Nazareno";"MG";"8710";"Sim";"36,38%";"23,82%";"5,86%";"1%"
"Nazarezinho";"PB";"7271";"Sim";"35,06%";"81,85%";"56,26%";"15,3%"
"Nazária";"PI";"8632";"Em elaboração";"72,79%";"--";"59,45%";"Não há"
"Nazário";"GO";"9375";"Não";"26,3%";"--";"25,33%";"--"
"Neópolis";"SE";"18688";"Sim";"21,33%";"--";"11,71%";"Não há"
"Nepomuceno";"MG";"26882";"Não";"Atendimento Pleno";"Atendimento Pleno";"10%";"0,1%"
"Nerópolis";"GO";"30931";"Em elaboração";"9,91%";"--";"3,01%";"Não há"
"Neves Paulista";"SP";"8917";"Em elaboração";"9,57%";"9,57%";"9,76%";"Não há"
"Nhamundá";"AM";"21710";"Não";"44,73%";"--";"63,08%";"24%"
"Nhandeara";"SP";"11575";"Sim";"11,38%";"12,38%";"0,41%";"Não há"
"Nicolau Vergueiro";"RS";"1667";"Em elaboração";"Atendimento Pleno";"--";"63,05%";"Não há"
"Nilo Peçanha";"BA";"14156";"Em elaboração";"75,41%";"--";"39,9%";"6,3%"
"Nilópolis";"RJ";"162893";"Em elaboração";"Atendimento Pleno";"49,83%";"Atendimento Pleno";"7,7%"
"Nina Rodrigues";"MA";"14826";"Não";"67,31%";"--";"64,39%";"6,5%"
"Ninheira";"MG";"10355";"Em elaboração";"73,22%";"--";"48,15%";"--"
"Nioaque";"MS";"13794";"Em elaboração";"51,45%";"76,41%";"50,96%";"2,4%"
"Nipoã";"SP";"5381";"Não";"15,05%";"18,27%";"11,17%";"Não há"
"Niquelândia";"GO";"47064";"Em elaboração";"22,38%";"65,52%";"--";"Não há"
"Nísia Floresta";"RN";"28266";"Em elaboração";"32,89%";"98,18%";"46,93%";"42,9%"
"Niterói";"RJ";"516981";"Sim";"Atendimento Pleno";"4,45%";"Atendimento Pleno";"5%"
"Nobres";"MT";"15332";"Em elaboração";"--";"--";"8,69%";"0,2%"
"Nonoai";"RS";"11574";"Sim";"23,86%";"--";"13,6%";"3,6%"
"Nordestina";"BA";"13197";"Não";"41,39%";"--";"52,26%";"Não há"
"Normandia";"RR";"11772";"Em elaboração";"67,44%";"--";"--";"--"
"Nortelândia";"MT";"5858";"Sim";"18,13%";"--";"18,13%";"Não há"
"Nossa Senhora Aparecida";"SE";"8822";"Não";"2,56%";"60,33%";"31,99%";"Não há"
"Nossa Senhora da Glória";"SE";"37715";"Em elaboração";"0,33%";"--";"33,48%";"0,2%"
"Nossa Senhora das Dores";"SE";"26957";"Em elaboração";"1,78%";"52,66%";"17,42%";"Não há"
"Nossa Senhora das Graças";"PR";"4009";"Não";"0,02%";"--";"Atendimento Pleno";"Não há"
"Nossa Senhora de Lourdes";"SE";"6509";"Não";"0,8%";"--";"16,27%";"Não há"
"Nossa Senhora de Nazaré";"PI";"4911";"Não";"18,55%";"--";"49,09%";"Não há"
"Nossa Senhora do Livramento";"MT";"13093";"Em elaboração";"50,4%";"--";"54,17%";"Não há"
"Nossa Senhora do Socorro";"SE";"187733";"Não";"8,46%";"67,68%";"Atendimento Pleno";"0,3%"
"Nossa Senhora dos Remédios";"PI";"8751";"Em elaboração";"66,21%";"--";"64,12%";"Não há"
"Nova Aliança";"SP";"7161";"Sim";"17,15%";"17,15%";"17,15%";"Não há"
"Nova Aliança do Ivaí";"PR";"1560";"Sim";"12,37%";"--";"--";"Não há"
"Nova Alvorada";"RS";"3698";"Sim";"Atendimento Pleno";"--";"58,14%";"4%"
"Nova Alvorada do Sul";"MS";"22967";"Não";"25,98%";"88,44%";"25,23%";"Não há"
"Nova América";"GO";"2362";"Em elaboração";"25,78%";"--";"27,1%";"0,5%"
"Nova América da Colina";"PR";"3424";"Sim";"0,03%";"76,11%";"--";"--"
"Nova Andradina";"MS";"56057";"Sim";"15,76%";"62,72%";"Atendimento Pleno";"Não há"
"Nova Araçá";"RS";"4890";"Sim";"28,02%";"--";"28,02%";"Não há"
"Nova Aurora";"GO";"2236";"Em elaboração";"8,18%";"--";"9,17%";"Não há"
"Nova Aurora";"PR";"10131";"Sim";"0,02%";"27,74%";"9,87%";"Não há"
"Nova Bandeirantes";"MT";"16052";"Não";"42,06%";"--";"65,11%";"0,4%"
"Nova Bassano";"RS";"10089";"Não";"37,63%";"--";"37,63%";"4,8%"
"Nova Belém";"MG";"3067";"Não";"58,59%";"58,59%";"63,87%";"Não há"
"Nova Boa Vista";"RS";"1731";"Sim";"0,58%";"--";"56,67%";"2%"
"Nova Brasilândia";"MT";"3656";"Sim";"Atendimento Pleno";"--";"20,24%";"Não há"
"Nova Brasilândia D'Oeste";"RO";"20504";"Em elaboração";"66,05%";"90,3%";"57,83%";"0,3%"
"Nova Bréscia";"RS";"3345";"Sim";"52,56%";"--";"55,16%";"Não há"
"Nova Campina";"SP";"9962";"Sim";"32,58%";"44,24%";"4,64%";"1,9%"
"Nova Canaã";"BA";"16482";"Não";"59%";"47,49%";"36,46%";"0,2%"
"Nova Canaã do Norte";"MT";"12876";"Não";"--";"--";"43,79%";"Não há"
"Nova Canaã Paulista";"SP";"1824";"Não";"7,79%";"9,37%";"58,39%";"2,9%"
"Nova Candelária";"RS";"2677";"Sim";"Atendimento Pleno";"--";"74,22%";"1,5%"
"Nova Cantu";"PR";"4827";"Sim";"0,02%";"--";"44,73%";"5%"
"Nova Castilho";"SP";"1290";"Em elaboração";"--";"--";"--";"--"
"Nova Colinas";"MA";"5469";"Em elaboração";"45,15%";"--";"44,23%";"Não há"
"Nova Crixás";"GO";"13020";"Não";"34,65%";"--";"1,16%";"Não há"
"Nova Cruz";"RN";"37554";"Em elaboração";"7,31%";"65,88%";"9,91%";"Não há"
"Nova Era";"MG";"17524";"Sim";"6%";"6%";"12,03%";"35,9%"
"Nova Erechim";"SC";"5163";"Em elaboração";"21,36%";"--";"24,89%";"Não há"
"Nova Esperança";"PR";"28062";"Sim";"0,01%";"27,5%";"8,61%";"0,2%"
"Nova Esperança do Piriá";"PA";"21519";"Em elaboração";"--";"--";"30,29%";"--"
"Nova Esperança do Sudoeste";"PR";"5014";"Não";"40,95%";"--";"65,8%";"8,4%"
"Nova Esperança do Sul";"RS";"5465";"Sim";"22,95%";"--";"13,8%";"Não há"
"Nova Europa";"SP";"11519";"Sim";"7,26%";"7,26%";"Atendimento Pleno";"Não há"
"Nova Fátima";"BA";"7830";"Não";"11,33%";"--";"--";"--"
"Nova Fátima";"PR";"8120";"Não";"16,88%";"--";"18,88%";"Não há"
"Nova Floresta";"PB";"10614";"Não";"Sem Atendimento";"--";"25,07%";"25%"
"Nova Friburgo";"RJ";"191664";"Sim";"12,6%";"15,59%";"2,43%";"7,4%"
"Nova Glória";"GO";"8063";"Não";"39,02%";"--";"Atendimento Pleno";"Não há"
"Nova Granada";"SP";"21871";"Sim";"3,23%";"3,9%";"7,32%";"Não há"
"Nova Guarita";"MT";"4407";"Em elaboração";"46,86%";"--";"60,68%";"Não há"
"Nova Guataporanga";"SP";"2333";"Em elaboração";"3,69%";"4,33%";"Atendimento Pleno";"0,5%"
"Nova Hartz";"RS";"22147";"Em elaboração";"69,66%";"92,78%";"Atendimento Pleno";"2,9%"
"Nova Ibiá";"BA";"6518";"Não";"57,82%";"57,04%";"57,78%";"7,5%"
"Nova Iguaçu";"RJ";"825388";"Sim";"22,85%";"44,07%";"1,09%";"7,7%"
"Nova Iguaçu de Goiás";"GO";"2939";"Sim";"27,02%";"--";"--";"Não há"
"Nova Independência";"SP";"4135";"Em elaboração";"Atendimento Pleno";"Atendimento Pleno";"21,86%";"Não há"
"Nova Iorque";"MA";"4682";"Não";"64,82%";"--";"--";"--"
"Nova Ipixuna";"PA";"17027";"Em elaboração";"74,39%";"--";"47,24%";"13,1%"
"Nova Itaberaba";"SC";"4327";"Sim";"60,41%";"--";"64,13%";"Não há"
