Par&aacute; | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2014],PIB per capita - R$ [2020],
Inhangapi,1503408,inhangapiense,EGILASIO ALVES FEITOSA,472.605,10325,21.85,97.3,0.572,11.17,21653.82106,21665.89057,13134.72,
Ipixuna do Par&aacute;,1503457,ipixunense,ARTEMES SILVA DE OLIVEIRA,5215.555,30329,5.82,74.8,0.489,20.8,94628.63855,110335.92098,9252.60,
Irituia,1503507,irituense,MARCOS DE LIMA PINTO,1385.209,30955,22.35,97.3,0.559,19.09,52234.85125,53722.53012,7643.05,
Itaituba,1503606,itaitubense,VALMIR CLIMACO DE AGUIAR,62042.472,123312,1.99,94.4,0.640,18.19,224773.09467,228882.16371,25900.08,
Itupiranga,1503705,itupiranguense,BENJAMIN TASCA,7880.109,49752,6.31,91.2,0.528,15.44,99510.10008,98144.22451,12339.48,
Jacareacanga,1503754,jacareacanguenses,SEBASTI&Atilde;O AURIVALDO PEREIRA SILVA,53304.563,24042,0.45,90.1,0.505,18.05,117218.23138,86152.29008,75936.80,
Jacund&aacute;,1503804,jacundaense,ITONIR APARECIDO TAVARES,2008.315,37707,18.78,96.3,0.622,10.39,88616.47107,71996.38051,8846.22,
Juruti,1503903,jurutiense,LUCIDIA BENITAH DE ABREU BATISTA,8305.454,50881,6.13,96.6,0.592,15.81,141157.35722,126560.94073,23180.49,
Limoeiro do Ajuru,1504000,ajuruense,ALCIDES ABREU BARRA,1490.186,29569,19.84,97.7,0.541,17.35,54455.33053,49204.63047,16551.60,
M&atilde;e do Rio,1504059,m&atilde;e-riense,JOSE VILLEIGAGNON RABELO OLIVEIRA,469.341,34353,73.19,96.5,0.599,22.3,67174.7702,64858.61495,10719.26,
Magalh&atilde;es Barata,1504109,magalh&atilde;es-baratense,MARLENE DA SILVA BORGES,323.984,8115,25.05,98.4,0.597,11.11,19389.62214,19979.1705,10870.62,
Marab&aacute;,1504208,marabaense,SEBASTIAO MIRANDA FILHO,15128.058,266536,17.62,94.7,0.668,13.93,836646.90994,718801.77748,45602.10,
Maracan&atilde;,1504307,maracanaense,REGINALDO DE ALCANTARA CARRERA,807.628,25812,31.96,98.1,0.570,8.4,57265.25479,58169.25764,8655.11,
